post_name,pre_name,distance,post_test_score,pre_test_score,x,delta
1,1,0.022222222,0.833333333,0.833333333,5.2,0
2,2,0,0.666666667,0.666666667,4.2,0
3,3,0.039215686,0.5,0.666666667,4.4,-0.166666667
4,4,0,0.833333333,0.833333333,5.4,0
5,5,0.132478632,0.833333333,0.833333333,3.2,0
6,6,0,0.666666667,0.5,5,0.166666667
7,7,0,0.833333333,0.833333333,5.4,0
8,8,0,0.833333333,0.666666667,5,0.166666667
9,9,0,0.166666667,0.166666667,4.2,0
10,10,0,0.833333333,0.833333333,6,0
11,11,0,0.833333333,0.833333333,5.6,0
12,12,0.047619048,0.833333333,0.5,5.4,0.333333333
13,13,0,0.666666667,0.833333333,4.2,-0.166666667
14,14,0.083333333,0.333333333,0.5,5.6,-0.166666667
15,15,0.090909091,0.833333333,0.833333333,5,0
16,16,0,0.5,0.5,5.8,0
17,17,0.111111111,0.666666667,0.5,5.8,0.166666667
18,18,0,0.5,0.5,6,0
19,19,0,0.5,0.833333333,5,-0.333333333
20,20,0,0.666666667,0.5,6,0.166666667
21,21,0,0.666666667,0.333333333,6.2,0.333333333
22,22,0,0.833333333,0.833333333,4.8,0
23,23,0.148148148,0.5,0.333333333,5.2,0.166666667
24,24,0.166666667,0.833333333,0.333333333,6.2,0.5
25,25,0,0.833333333,0.5,4.2,0.333333333
26,26,0,0.666666667,0.5,5.6,0.166666667
27,27,0,0.666666667,0.833333333,5.4,-0.166666667
28,28,0,0.166666667,0.166666667,5.6,0
29,29,0,0.166666667,0.666666667,3,-0.5
30,30,0,0.5,0.5,4.8,0
31,31,0,0.333333333,0.666666667,5.2,-0.333333333
32,32,0,0.833333333,0.333333333,6.4,0.5
33,33,0.179487179,0.833333333,0.833333333,4.2,0
34,34,0.185185185,0.833333333,0.666666667,3.8,0.166666667
35,35,0,0.833333333,0.666666667,6,0.166666667
36,36,0,0.833333333,0.833333333,5,0
37,37,0,0.666666667,0.833333333,4.8,-0.166666667
38,38,0,0.666666667,0.833333333,6,-0.166666667
39,39,0,0.666666667,0.333333333,5.8,0.333333333
40,40,0,0.5,0.666666667,5.4,-0.166666667
41,41,0,0.666666667,0.333333333,5,0.333333333
42,42,0,0.833333333,0.666666667,4,0.166666667
43,43,0,1,0.833333333,4.8,0.166666667
44,44,0,0.666666667,0.666666667,5.6,0
45,45,0,0.833333333,0.5,4.8,0.333333333
46,46,0,0.5,0.666666667,5.6,-0.166666667
47,47,0,1,0.833333333,5,0.166666667
48,48,0,0.166666667,0.166666667,5.2,0
49,49,0,0.833333333,1,6.4,-0.166666667
50,50,0.111111111,0.333333333,0.5,4.8,-0.166666667
51,51,0.133333333,0.666666667,0.333333333,5,0.333333333
52,52,0,0.833333333,0.5,6,0.333333333
53,53,0,0.833333333,0.833333333,6,0
54,54,0,0.833333333,0.833333333,5.6,0
55,55,0,0.5,0.666666667,5.6,-0.166666667
56,56,0.055555556,0.333333333,0.166666667,6.2,0.166666667
57,57,0,0.666666667,0.666666667,5.6,0
58,58,0,0.166666667,0.5,5.8,-0.333333333
59,59,0,0.833333333,0.666666667,6,0.166666667
60,60,0.041666667,0.666666667,0.166666667,6,0.5
61,61,0.153846154,0.666666667,0.5,5.8,0.166666667
62,62,0,0.666666667,0.166666667,6,0.5
63,63,0.156862745,0.833333333,0.5,6.4,0.333333333
64,64,0,0.833333333,0.166666667,5.6,0.666666667
65,65,0.166666667,0.666666667,0.833333333,6.6,-0.166666667
66,66,0.074074074,0.333333333,0.333333333,4.8,0
67,67,0,0.833333333,0.5,5.4,0.333333333
68,68,0,0.5,0.333333333,5.8,0.166666667
69,69,0.181818182,0.5,0.5,7,0
70,70,0,0.833333333,0.5,6.2,0.333333333
71,71,0.066666667,0.833333333,0.5,5.6,0.333333333
72,72,0,0.333333333,1,5.6,-0.666666667
73,73,0,0.833333333,0.833333333,6,0
74,74,0,0.666666667,0.833333333,5,-0.166666667
75,75,0.194444444,0.833333333,0.5,6,0.333333333
76,76,0,0.666666667,0.666666667,6.8,0
77,77,0.166666667,0.833333333,0.833333333,5.4,0
78,78,0.151515152,0.666666667,0.5,3.2,0.166666667
79,79,0,0,0.166666667,4.8,-0.166666667
80,80,0,0.666666667,0.333333333,5.8,0.333333333
81,81,0,0.166666667,0.166666667,5.4,0
82,82,0,0.333333333,0.333333333,7,0
83,83,0.133333333,0.333333333,0.166666667,5.4,0.166666667
84,84,0.125,0.5,0.333333333,6,0.166666667
85,85,0,0.5,0.5,2.4,0
86,86,0,0.5,0.333333333,5.8,0.166666667
87,87,0.019607843,0.5,0.5,5.6,0
88,88,0.166666667,0.666666667,0.5,6,0.166666667
89,89,0.166666667,0.833333333,0.666666667,6,0.166666667
90,90,0,0.833333333,0.833333333,6.2,0
91,91,0,0.833333333,0.833333333,4.4,0
92,92,0,0.833333333,0.666666667,6.2,0.166666667
93,93,0,0.833333333,0.5,4.4,0.333333333
94,94,0,0.833333333,0.666666667,5.8,0.166666667
95,95,0,0.833333333,0.666666667,5,0.166666667
96,96,0,0.333333333,0.166666667,4.8,0.166666667
97,97,0,0.666666667,0.833333333,6.2,-0.166666667
98,98,0,0.833333333,0.833333333,5.6,0
99,99,0,0.833333333,0.666666667,4,0.166666667
100,100,0,0.333333333,0.333333333,3,0
101,101,0,0.5,NA,4.2,NA
102,102,0,0.666666667,0.666666667,6,0
103,103,0,0.333333333,0.333333333,4.6,0
104,104,0.179487179,0.166666667,0.5,3.8,-0.333333333
105,105,0.022222222,NA,0.833333333,5.4,NA
